task_id,task_name,completed,time_on_task_ms,error_count,steps,backtrack_count,seq_score,critical
agent_start_dashboard,Start agentic task from dashboard,True,28000.0,0,4,0,6.2,True
understand_agent_path,Understand which agent/path was selected,True,18000.0,0,3,0,6.1,True
nav_swarm_score,Open SwarmScore evaluation report,True,12000.0,0,3,0,6.5,True
nav_observer_trace,View multi-agent progress in Observer,True,35000.0,0,5,1,6.0,True
inspect_rag_evidence,Inspect RAG sources on chat evidence,True,42000.0,0,6,1,5.8,True
nav_macro_surface,Open macro analysis surface,True,48000.0,0,4,0,6.1,False
nav_decision_terminal,Run decision terminal analyze flow,True,65000.0,0,5,0,6.3,True
find_previous_eval,Find previous evaluation run,True,15000.0,0,3,0,6.4,False
compare_two_reports,Compare two generated reports,True,22000.0,0,4,0,6.2,False
export_eval_report,Export evaluation report,True,18000.0,0,4,0,6.0,False
dashboard_alert,Understand dashboard alert/recommendation,True,24000.0,0,3,0,6.1,False
recover_tool_failure,Recover from failed tool/API call,True,72000.0,1,7,2,5.6,True
understand_ai_confidence,Understand confidence on agent output,True,38000.0,0,5,1,5.9,True
